id,num_words,score
20181207,1905,0.0
20190102,2719,0.0
20190111,2613,0.0
20190227,2233,0.0
20190325,3409,0.05087606973867129
20190430,2127,0.34840007358802966
20191218,2522,0.04063648588077095
20200113,5194,0.1821365789958313
20200128,3202,0.0
20201125,5309,0.4321138018295429
20210219,5416,0.17539865776122276
20210324,4326,0.21868178254839293
20210430,2606,0.1860452467549801
20210510,175,0.0
20210719,4379,0.616599978156617
20210810,4479,0.36610035236902644
20211004,5843,0.05869096429023208
20211011,5111,0.8614601073558309
20211215,4603,0.37165213613050085
20211222,4583,0.2846859376334089
20211223,4083,0.12357154266364245
20220211,3623,0.42213491101537276
20220413,3632,0.25069981804252056
20220603,4533,1.0
20221125,3582,0.0
20230310,4399,0.5313596963736816
20230719,6390,0.2819052867932231
20230814,3302,0.13489295025412792
20231023,4206,0.8069038020219561
20181210,2188,0.5618571711363999
20181211,2852,0.15510517058489115
20181212,1298,0.09676391826051732
20181217,1937,0.5040938271387763
20181218,2226,0.3652377688236858
20181219,2929,0.17746431687603825
20181224,3272,0.4519804342350234
20181226,2267,0.18450182944536206
20181227,2445,0.4845108170029909
20181228,2523,0.10052208447909873
20190103,3118,0.21814761816159536
20190104,2143,0.46552089857666384
20190107,2272,0.5712074917425279
20190108,1830,0.45800911821748896
20190109,1633,0.40755409137710275
20190110,3101,0.26168310467315753
20190114,4020,0.30957539971108017
20190115,2622,0.4681211336280988
20190116,3331,0.16011007754375103
20190117,2392,0.2070241163379472
20190118,3219,0.22584725250044593
20190119,3465,0.1930296629796857
20190120,2491,0.18958456225369286
20190121,3494,0.10820688785418218
20190122,4092,0.23998958965682463
20190123,2817,0.1532077176383008
20190124,1473,0.08270083865555732
20190125,2853,0.2880600765217905
20190128,3236,0.602475979755754
20190129,2784,0.5064564437192419
20190130,3439,0.5915375419284986
20190131,3122,0.663057794234027
20190201,2299,0.6131586201683334
20190204,2497,0.09352601784564878
20190205,2650,0.47762208396325934
20190206,3631,0.7530879703682402
20190207,3057,0.5570870632969814
20190208,5215,0.10175625561048154
20190211,2621,0.24482376432289246
20190212,2732,0.32626046889502064
20190213,3028,0.6263793230575063
20190214,2939,0.34438472892927086
20190215,4388,0.1899963931544967
20190218,1594,0.2910049479292786
20190219,2747,0.6187790561758953
20190220,2551,0.4063074974780497
20190221,4867,0.7355965960155362
20190222,3286,0.19723545998982758
20190225,2714,0.5761336036998292
20190226,2814,0.6258480515039485
20190228,3000,0.10197908717005148
20190301,3021,0.34479506204957544
20190304,3038,0.2849784959334394
20190305,2169,0.6093482078417487
20190307,2191,0.2655546616860058
20190311,352,0.0906801100820303
20190312,2786,0.5316912845165832
20190313,2607,0.31836731250519335
20190314,3885,0.16995325603886788
20190315,2125,0.5405433434766271
20190318,5225,0.17664301921815975
20190319,3031,0.0950527187242456
20190320,2224,0.3400261583082054
20190321,3756,0.17000188985272593
20190322,3313,0.30474925726004265
20190326,2147,0.2569327910309252
20190327,3610,0.5306065390161846
20190328,2740,0.596473580352638
20190329,3263,0.3523519226649533
20190401,2206,0.16661727302748222
20190402,3628,0.17698778773131577
20190403,4135,0.47847693484114556
20190404,2441,0.32656158151186027
20190405,4564,0.19777292824309803
20190408,3498,0.4899006241819132
20190409,4027,0.4790306731021922
20190410,2786,0.16995325603886788
20190412,2313,0.5138384458033934
20190415,3476,0.24350087172311283
20190416,2309,0.2831319968920687
20190417,3669,0.6513331684858902
20190422,3548,0.5128717606482298
20190423,4484,0.3270467449206373
20190424,2272,0.3776445601686187
20190425,3170,0.13605077417648356
20190426,3642,0.10120250266531239
20190429,3080,0.20563046095163923
20190501,3748,0.2426011314826167
20190502,2957,0.6330592478746953
20190503,2792,0.4514065493578496
20190506,3990,0.3425862469686114
20190507,3051,0.6017413037367488
20190509,3528,0.19828217361284337
20190510,4497,0.569793586951235
20190513,4769,0.20123979083869767
20190514,4085,0.3539043574683044
20190515,2411,0.08860221863764782
20190516,3682,0.26348834133018617
20190517,3348,0.46242830489640646
20190520,6455,0.6977444522925045
20190521,4070,0.2117918012971463
20190522,2817,0.23590125094289363
20190523,2929,0.21361391001097532
20190524,2383,0.24743606972305668
20190527,5317,0.2592802242286827
20190528,3957,0.3631599361157935
20190529,4961,0.4375968369452849
20190530,3619,0.3006910944179348
