id,score,num_words
20190325,0.010673309654996709,44
20190430,0.3207997627362448,188
20191218,0.0,26
20200113,0.1474937195677788,240
20201125,0.40805941667291656,582
20210219,0.14047039510792114,241
20210324,0.18558689594431943,240
20210430,0.15156794972310972,123
20210719,0.6003600134873023,685
20210810,0.3392497856113038,416
20211004,0.018819225605047694,87
20211011,0.8555918683530929,1117
20211215,0.34503673047606803,434
20211222,0.25438683894153974,331
20211223,0.08644799970219046,128
20220211,0.39765784243405095,388
20220413,0.21896114358132973,231
20220603,0.9999999999999999,1150
20230310,0.511509144626407,593
20230719,0.25148840597086475,457
20230814,0.09824895671573645,113
20231023,0.7987246803362943,861
20181210,0.2049606492973009,2188
20181211,0.3196649364525217,2852
20181212,0.12755722738703223,1298
20181217,0.5979106209922447,1937
20181218,0.4739987908919697,2226
20181219,0.7689489811893897,2929
20181224,0.41662197386661115,3272
20181226,0.30550344887266745,2267
20181227,0.42634322044276096,2445
20181228,0.5043996621884704,2523
20190103,0.46191679128424645,3118
20190104,0.5619652647625429,2143
20190107,0.5996902929007947,2272
20190108,0.587914078739172,1830
20190109,0.4971697297538771,1633
20190110,0.670043476096423,3101
20190114,0.9331540820734322,4020
20190115,0.5913376267570025,2622
20190116,0.40219758855814425,3331
20190117,0.5761149054140119,2392
20190118,0.9067825745899699,3219
20190119,0.8502740119051612,3465
20190120,0.4119711514149414,2491
20190121,0.5329524738812977,3494
20190122,0.5506029890133912,4092
20190123,0.6186233375203075,2817
20190124,0.7684962264844315,1473
20190125,0.8423773453614406,2853
20190128,0.4235565290092409,3236
20190129,0.5120204514231252,2784
20190130,0.16619172921743797,3439
20190131,0.7776376470384978,3122
20190201,0.7845478042433417,2299
20190204,0.5556030050363564,2497
20190205,0.6488873722021251,2650
20190206,0.8010689122027016,3631
20190207,0.40813335886245933,3057
20190208,0.7940515510102468,5215
20190211,0.5801335549507328,2621
20190212,0.417628258698348,2732
20190213,0.3878156011716765,3028
20190214,0.6754353897348633,2939
20190215,0.5934379310374074,4388
20190218,0.28917323870506684,1594
20190219,0.6199776220468359,2747
20190220,0.4285211879203584,2551
20190221,0.6394724008675647,4867
20190222,0.5195467101284418,3286
20190225,0.5466376047360771,2714
20190226,0.1596607808636874,2814
20190228,0.5183092418259919,3000
20190301,0.6425696226409832,3021
20190304,0.6419222354536636,3038
20190305,0.6088106522488427,2169
20190307,0.3940946875014214,2191
20190311,0.08255054747179179,352
20190312,0.3297223357950776,2786
20190313,0.2348442353331941,2607
20190314,0.8054768267041453,3885
20190315,0.4346487743829743,2125
20190318,0.5582120231563148,5225
20190319,0.3068675599211898,3031
20190320,0.4983146879333801,2224
20190321,0.3950861560196221,3756
20190322,0.5137498580696372,3313
20190326,0.2824432956278828,2147
20190327,0.7593030712818608,3610
20190328,0.6189605004899094,2740
20190329,0.2947688154301932,3263
20190401,0.3914326796320186,2206
20190402,0.6544197959214145,3628
20190403,0.7330794820360157,4135
20190404,0.30173294197545913,2441
20190405,0.5278941721951654,4564
20190408,0.3900378645287922,3498
20190409,0.6347171601401267,4027
20190410,0.7356990919834193,2786
20190412,0.32144170020035695,2313
20190415,0.315528735998489,3476
20190416,0.3696277191639347,2309
20190417,0.5825631854729186,3669
20190422,0.7859849866563492,3548
20190423,0.7511243437610282,4484
20190424,0.12587819314532134,2272
20190425,0.43011485999203714,3170
20190426,0.8356778614412161,3642
20190429,0.3903819458596733,3080
20190501,0.7490845904479262,3748
20190502,0.317997703220869,2957
20190503,0.5511617232172383,2792
20190506,0.526656336546099,3990
20190507,0.41712398363041175,3051
20190509,0.8444451394662764,3528
20190510,0.46577380830966386,4497
20190513,0.7870356592042584,4769
20190514,0.41014699995356485,4085
20190515,0.5735009281147294,2411
20190516,0.6528645115711704,3682
20190517,0.33074209000275645,3348
20190520,0.760743743487726,6455
20190521,0.8073482740424089,4070
20190522,0.37064487133307933,2817
20190523,0.3997970090308878,2929
20190524,0.3356161673606643,2383
20190527,0.5895940160413153,5317
20190528,0.7034350386475284,3957
20190529,0.3696277191639347,4961
20190530,0.47418558664651034,3619
20190531,0.45844322290212236,1905
20190601,0.5131883687661657,2673
20190603,0.6201962545081484,3883
20190604,0.4865072493093465,3832
20190605,0.5517590288158283,4687
20190606,0.6733675956300275,2532
20190607,0.5711123179647305,2627
20190610,0.5724310310938848,3400
20190611,0.18780896025833077,1645
20190612,0.11283899539750418,811
20190613,0.2009409130268392,604
20190614,0.3917823323865848,3261
20190617,0.7856437828739649,4038
20190618,0.5384530608938152,3098
20190620,0.16559437770052093,2334
20190621,0.3889693450577598,2562
20190624,0.6640544405327011,3305
20190625,0.27546912827509645,2686
20190626,0.5533834967788652,2755
20190627,0.791106165838356,3063
20190628,0.49623911832515966,2819
20190702,0.43510440663642924,4027
20190703,0.1610703663621229,2848
20190704,0.4635412592472834,3077
20190705,0.3846151243867757,2308
20190708,0.814957614307513,4975
20190709,0.7295217300542542,2756
20190710,0.1770664135574906,3135
20190711,0.8116671682137635,5505
20190712,0.7235621434442964,3310
20190715,0.7131877239716155,3877
20190716,0.902134782747887,3492
20190717,0.6173856243201133,3308
20190718,0.8304014170892602,4774
20190719,0.4012451812301752,2243
20190722,0.40224583341379094,3057
20190723,0.5496315408857951,4107
20190724,0.6063955319180124,3842
20190725,0.5397048557143124,4170
20190726,0.6832897501932388,3954
20190729,0.685890686687632,5790
20190730,0.6098548350065254,2228
20190731,0.5035452751826973,3475
20190801,0.3522029079155232,3469
20190802,0.6852292791044455,5006
20190805,0.6826495262649429,4648
20190807,0.4667515013297421,4402
20190808,0.5865010799784239,4565
20190809,0.5208206681948071,3469
20190812,0.5577922071979782,3936
20190813,0.9187507273587656,4827
20190814,0.6303641639578645,2608
20190815,0.5050029677817982,3033
20190816,0.437445078052962,4698
20190819,0.3157694704812336,3645
20190820,0.8990004589661922,4272
20190821,0.430667930935545,3467
20190822,0.20748167259647476,2839
