id,num_words,score,date,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas
20190425,3170,0.1360507741764835,25042019,88.0,85.0
20190426,3642,0.1012025026653123,26042019,54.0,75.0
20190429,3080,0.2056304609516392,29042019,75.0,93.0
20190501,3748,0.2426011314826167,01052019,,
20190502,2957,0.6330592478746953,02052019,,
20190503,2792,0.4514065493578496,03052019,,
20190506,3990,0.3425862469686114,06052019,,
20190507,3051,0.6017413037367488,07052019,,
20190509,3528,0.1982821736128433,09052019,,
20190510,4497,0.569793586951235,10052019,58.0,81.0
20190513,4769,0.2012397908386976,13052019,78.0,100.0
20190514,4085,0.3539043574683044,14052019,80.0,72.0
20190515,2411,0.0886022186376478,15052019,68.0,77.0
20190516,3682,0.2634883413301861,16052019,87.0,85.0
20190517,3348,0.4624283048964064,17052019,73.0,72.0
20190520,6455,0.6977444522925045,20052019,68.0,100.0
20190521,4070,0.2117918012971463,21052019,71.0,92.0
20190522,2817,0.2359012509428936,22052019,70.0,86.0
20190523,2929,0.2136139100109753,23052019,92.0,91.0
20190524,2383,0.2474360697230566,24052019,83.0,78.0
20190527,5317,0.2592802242286827,27052019,78.0,89.0
20190528,3957,0.3631599361157935,28052019,81.0,74.0
20190529,4961,0.4375968369452849,29052019,87.0,101.0
20190530,3619,0.3006910944179348,30052019,86.0,69.0
20190531,1905,0.1242224197867123,31052019,57.0,60.0
20190601,2673,0.282154739168675,01062019,,
20190603,3883,0.3283887562479661,03062019,,
20190604,3832,0.1805668810755014,04062019,,
20190605,4687,0.3561682967452899,05062019,,
20190606,2532,0.2132863806576832,06062019,,
20190607,2627,0.3126223845067231,07062019,,
20190610,3400,0.5589363816898801,10062019,92.0,93.0
20190611,1645,0.2761694908206877,11062019,98.0,98.0
20190612,811,0.2484591712770254,12062019,89.0,101.0
20190613,604,0.1516122583559025,13062019,83.0,93.0
20190614,3261,0.2175766260565622,14062019,81.0,82.0
20190617,4038,0.2712232616155043,17062019,90.0,120.0
20190618,3098,0.1647467067092657,18062019,93.0,93.0
20190620,2334,0.2427221873888502,20062019,93.0,88.0
20190621,2562,0.1519735465069179,21062019,93.0,97.0
20190624,3305,0.5370076417145521,24062019,81.0,94.0
20190625,2686,0.300986421490493,25062019,69.0,87.0
20190626,2755,0.419191875224528,26062019,69.0,82.0
20190627,3063,0.485449132433404,27062019,66.0,90.0
20190628,2819,0.2362971495707397,28062019,80.0,89.0
20190702,4027,0.4812161110600699,02072019,,
20190703,2848,0.4042994437204754,03072019,,
20190704,3077,0.6158199118012967,04072019,,
20190705,2308,0.0924875860677465,05072019,,
20190708,4975,0.3525856938958168,08072019,,
20190709,2756,0.1768390522540911,09072019,,
20190710,3135,0.1365355117457068,10072019,76.0,96.0
20190711,5505,0.245144935451124,11072019,85.0,96.0
20190712,3310,0.4858671306656754,12072019,54.0,77.0
20190715,3877,0.2836810362339019,15072019,68.0,93.0
20190716,3492,0.1715905650705099,16072019,67.0,81.0
20190717,3308,0.4700125660844471,17072019,83.0,88.0
20190718,4774,0.36538725319116,18072019,78.0,85.0
20190719,2243,0.1080446062739128,19072019,65.0,69.0
20190722,3057,0.6395294246854989,22072019,62.0,104.0
20190723,4107,0.5829770509056422,23072019,57.0,87.0
20190724,3842,0.1031485820836994,24072019,70.0,75.0
20190725,4170,0.1231303542512266,25072019,89.0,79.0
20190726,3954,0.2485241632033949,26072019,87.0,77.0
20190729,5790,0.7115743113211963,29072019,82.0,85.0
20190730,2228,0.3780257599898006,30072019,80.0,72.0
20190731,3475,0.3337514565366765,31072019,88.0,77.0
20190801,3469,0.3302647703756456,01082019,,
20190802,5006,0.4625201981352723,02082019,,
20190805,4648,0.4262200486919154,05082019,,
20190807,4402,0.2463942312287247,07082019,,
20190808,4565,0.204483704401747,08082019,,
20190809,3469,0.7767563089728354,09082019,,
20190812,3936,0.1751688801562008,12082019,73.0,76.0
20190813,4827,0.6769774026196935,13082019,83.0,90.0
20190814,2608,0.2623431559814059,14082019,82.0,94.0
20190815,3033,0.1834894766690938,15082019,74.0,90.0
20190816,4698,0.2027576004810955,16082019,60.0,73.0
20190819,3645,0.1867616571680359,19082019,86.0,102.0
20190820,4272,0.5845650506537893,20082019,98.0,79.0
20190821,3467,0.2557671066470768,21082019,94.0,104.0
20190822,2839,0.3176203018232532,22082019,62.0,84.0
20190823,5077,0.4796479348773541,23082019,70.0,75.0
20190826,2463,0.4386124202285123,26082019,86.0,98.0
20190827,3962,0.3584553194629109,27082019,100.0,87.0
20190828,4245,0.2240996657085159,28082019,79.0,105.0
20190829,2456,0.1050801462469541,29082019,56.0,65.0
20190830,4280,0.1858148689989162,30082019,94.0,79.0
20190902,3326,0.4671518640673678,02092019,,
20190903,2789,0.6851546967807023,03092019,,
20190904,3230,0.1914741738788459,04092019,,
20190905,3700,0.2402080306637546,05092019,,
20190906,1658,0.3168522634778333,06092019,,
20190909,2127,0.1572839125828898,09092019,,
20190910,3159,0.1117965023721689,10092019,78.0,80.0
20190911,4701,0.4812920867101005,11092019,77.0,73.0
20190912,3022,0.2048147726285716,12092019,74.0,87.0
20190913,2576,0.3085090681003487,13092019,71.0,96.0
20190918,3905,0.2549604490593723,18092019,62.0,75.0
20190920,3648,0.497583239622738,20092019,114.0,107.0
20190923,3540,0.5425904863684073,23092019,85.0,91.0
20190924,3585,0.2457817564775114,24092019,71.0,80.0
20190925,4231,0.1519735465069179,25092019,77.0,87.0
20190926,2627,0.2000708465796449,26092019,81.0,88.0
20190927,1434,0.2907593412956465,27092019,75.0,82.0
20190930,5012,0.1726565148940552,30092019,65.0,78.0
20191001,5042,0.2291440729570129,01102019,,
20191002,3399,0.1833568496742973,02102019,,
20191003,3910,0.1755661590915659,03102019,,
20191004,3462,0.4202170619238977,04102019,,
20191007,4630,0.1764287485020316,07102019,,
20191008,3367,0.204483704401747,08102019,,
20191009,3280,0.2765821146641088,09102019,,
20191010,4132,0.2771668070554733,10102019,78.0,75.0
20191011,2331,0.132053697284149,11102019,75.0,72.0
20191014,7241,0.548935965610587,14102019,93.0,93.0
20191015,1878,0.1578520706522723,15102019,87.0,97.0
20191016,4375,0.2533426405424657,16102019,103.0,86.0
20191017,3042,0.3122019193418647,17102019,60.0,64.0
20191018,3185,0.6570218562950259,18102019,71.0,75.0
20191021,4947,0.170302987785443,21102019,79.0,121.0
20191022,4273,0.625436015025429,22102019,78.0,95.0
20191023,3916,0.4642918375199255,23102019,74.0,90.0
20191024,3330,0.2232719364049641,24102019,82.0,76.0
20191025,3786,0.3294372025974418,25102019,52.0,67.0
20191028,3921,0.2181099387031534,28102019,77.0,74.0
20191029,6029,0.2233964137117499,29102019,78.0,81.0
20191030,4984,0.1079954438316433,30102019,62.0,56.0
20191031,4353,0.2679479680825834,31102019,52.0,56.0
20191101,4394,0.202617029376004,01112019,,
20191104,4559,0.3153852608994297,04112019,,
20191105,3594,0.2383891230886397,05112019,,
20191106,3437,0.5954900378247965,06112019,,
20191107,3527,0.1847072750038426,07112019,,
20191108,2800,0.3250335517201734,08112019,,
20191111,2174,0.2845939187640728,11112019,87.0,65.0
20191112,2237,0.1895579252554022,12112019,65.0,68.0
20191113,2825,0.1701114187227642,13112019,60.0,68.0
20191114,5234,0.5737686963962472,14112019,86.0,77.0
20191115,2778,0.2058455980309973,15112019,87.0,68.0
20191118,3566,0.278853689684816,18112019,69.0,63.0
20191119,3732,0.2505020264050234,19112019,101.0,78.0
20191121,5387,0.566189163495665,21112019,82.0,74.0
20191122,3395,0.2074493685267541,22112019,73.0,58.0
20191125,3739,0.1056113737481443,25112019,83.0,90.0
20191126,3868,0.1846131938307181,26112019,90.0,77.0
20191127,3934,0.2027576004810955,27112019,60.0,80.0
20191128,3489,0.1780732233854739,28112019,65.0,69.0
20191129,3301,0.5166923343876133,29112019,75.0,71.0
20191202,3650,0.5529403258277021,02122019,,
20191203,4040,0.4657522909796756,03122019,,
20191204,3667,0.1073903258258233,04122019,,
20191205,5872,0.1431503859000361,05122019,,
20191206,3264,0.2458084522122922,06122019,,
20191209,5285,0.5351661940113357,09122019,,
20191210,3066,0.2425701920364213,10122019,80.0,69.0
20191211,2943,0.2218786040693521,11122019,73.0,73.0
20191212,3694,0.2265906802564859,12122019,63.0,62.0
20191213,2875,0.2928649269951426,13122019,96.0,81.0
20191216,3496,0.1999254443982372,16122019,75.0,71.0
20191217,4208,0.1385683523021314,17122019,77.0,74.0
20191219,4414,0.6833601207966389,19122019,94.0,101.0
20191220,4715,0.3488730190888695,20122019,65.0,76.0
20191223,4525,0.3641051824520463,23122019,93.0,87.0
20191224,2667,0.1931747421103974,24122019,61.0,54.0
20191226,1749,0.3157424081278883,26122019,86.0,75.0
20191227,3206,0.093798980999576,27122019,67.0,50.0
20200102,3797,0.774374368087105,02012020,,
20200103,2242,0.3315851666745932,03012020,,
20200106,4875,0.273193753387617,06012020,,
20200107,4144,0.5518908222214035,07012020,,
20200108,3845,0.1741271297666041,08012020,,
