id,num_words,score,dates,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas,nnet_score
20190605,4687,0.356168297,6/5/2019,59,78,0.341020068
20190606,2532,0.213286381,6/6/2019,70,83,0.283159867
20190607,2627,0.312622385,6/7/2019,87,79,0.330927201
20190610,3400,0.558936382,6/10/2019,92,93,0.216495625
20190611,1645,0.276169491,6/11/2019,98,98,0.177143381
20190612,811,0.248459171,6/12/2019,89,101,0.152534392
20190613,604,0.151612258,6/13/2019,83,93,0.196150054
20190614,3261,0.217576626,6/14/2019,81,82,0.213798563
20190617,4038,0.271223262,6/17/2019,90,120,0.450096256
20190618,3098,0.164746707,6/18/2019,93,93,0.426614758
20190620,2334,0.242722187,6/20/2019,93,88,0.332510678
20190621,2562,0.151973547,6/21/2019,93,97,0.177031502
20190624,3305,0.537007642,6/24/2019,81,94,0.271133865
20190625,2686,0.300986421,6/25/2019,69,87,0.340004338
20190626,2755,0.419191875,6/26/2019,69,82,0.473064514
20190627,3063,0.485449132,6/27/2019,66,90,0.363301168
20190628,2819,0.23629715,6/28/2019,80,89,0.296952135
20190702,4027,0.481216111,7/2/2019,80,84,0.435417419
20190703,2848,0.404299444,7/3/2019,73,74,0.396505141
20190704,3077,0.615819912,7/4/2019,67,76,0.406938386
20190705,2308,0.092487586,7/5/2019,81,73,0.179053345
20190708,4975,0.352585694,7/8/2019,85,102,0.477191634
20190709,2756,0.176839052,7/9/2019,67,98,0.380021743
20190710,3135,0.136535512,7/10/2019,76,96,0.443614919
20190711,5505,0.245144935,7/11/2019,85,96,0.540579819
20190712,3310,0.485867131,7/12/2019,54,77,0.360551889
20190715,3877,0.283681036,7/15/2019,68,93,0.410685892
20190716,3492,0.171590565,7/16/2019,67,81,0.519325902
20190717,3308,0.470012566,7/17/2019,83,88,0.379319901
20190718,4774,0.365387253,7/18/2019,78,85,0.608626748
20190719,2243,0.108044606,7/19/2019,65,69,0.340093323
20190722,3057,0.639529425,7/22/2019,62,104,0.282361638
20190723,4107,0.582977051,7/23/2019,57,87,0.558925515
20190724,3842,0.103148582,7/24/2019,70,75,0.511857147
20190725,4170,0.123130354,7/25/2019,89,79,0.622499543
20190726,3954,0.248524163,7/26/2019,87,77,0.647888215
20190729,5790,0.711574311,7/29/2019,82,85,0.599413812
20190730,2228,0.37802576,7/30/2019,80,72,0.266990622
20190731,3475,0.333751457,7/31/2019,88,77,0.584861024
20190801,3469,0.33026477,8/1/2019,54,71,0.467924308
20190802,5006,0.462520198,8/2/2019,83,69,0.483605658
20190805,4648,0.426220049,8/5/2019,82,108,0.282349539
20190807,4402,0.246394231,8/7/2019,73,86,0.417960406
20190808,4565,0.204483704,8/8/2019,88,94,0.483538699
20190809,3469,0.776756309,8/9/2019,73,72,0.398903763
20190812,3936,0.17516888,8/12/2019,73,76,0.514430216
20190813,4827,0.676977403,8/13/2019,83,90,0.179616334
20190814,2608,0.262343156,8/14/2019,82,94,0.296213494
20190815,3033,0.183489477,8/15/2019,74,90,0.38374875
20190816,4698,0.2027576,8/16/2019,60,73,0.640188213
20190819,3645,0.186761657,8/19/2019,86,102,0.539574544
20190820,4272,0.584565051,8/20/2019,98,79,0.617978125
20190821,3467,0.255767107,8/21/2019,94,104,0.562131764
20190822,2839,0.317620302,8/22/2019,62,84,0.534167909
20190823,5077,0.479647935,8/23/2019,70,75,0.621087753
20190826,2463,0.43861242,8/26/2019,86,98,0.315604965
20190827,3962,0.358455319,8/27/2019,100,87,0.636977794
20190828,4245,0.224099666,8/28/2019,79,105,0.511028022
20190829,2456,0.105080146,8/29/2019,56,65,0.406256749
20190830,4280,0.185814869,8/30/2019,94,79,0.50889671
20190902,3326,0.467151864,9/2/2019,76,91,0.404605843
20190903,2789,0.685154697,9/3/2019,79,78,0.315187583
20190904,3230,0.191474174,9/4/2019,63,86,0.453283885
20190905,3700,0.240208031,9/5/2019,64,75,0.375760352
20190906,1658,0.316852263,9/6/2019,64,75,0.132249202
20190909,2127,0.157283913,9/9/2019,75,93,0.392677166
20190910,3159,0.111796502,9/10/2019,78,80,0.234405277
20190911,4701,0.481292087,9/11/2019,77,73,0.67785428
20190912,3022,0.204814773,9/12/2019,74,87,0.261417498
20190913,2576,0.308509068,9/13/2019,71,96,0.426012768
20190918,3905,0.254960449,9/18/2019,62,75,0.450719979
20190920,3648,0.49758324,9/20/2019,114,107,0.452428329
20190923,3540,0.542590486,9/23/2019,85,91,0.633345236
20190924,3585,0.245781756,9/24/2019,71,80,0.637654438
20190925,4231,0.151973547,9/25/2019,77,87,0.663026018
20190926,2627,0.200070847,9/26/2019,81,88,0.445331493
20190927,1434,0.290759341,9/27/2019,75,82,0.241183247
20190930,5012,0.172656515,9/30/2019,65,78,0.608559905
20191001,5042,0.229144073,10/1/2019,81,86,0.525280725
20191002,3399,0.18335685,10/2/2019,88,76,0.538282047
20191003,3910,0.175566159,10/3/2019,87,81,0.526039072
20191004,3462,0.420217062,10/4/2019,61,73,0.227360304
20191007,4630,0.176428749,10/7/2019,77,72,0.514395561
20191008,3367,0.204483704,10/8/2019,86,80,0.346426879
20191009,3280,0.276582115,10/9/2019,80,96,0.264330946
20191010,4132,0.277166807,10/10/2019,78,75,0.430102589
20191011,2331,0.132053697,10/11/2019,75,72,0.389135826
20191014,7241,0.548935966,10/14/2019,93,93,0.283220953
20191015,1878,0.157852071,10/15/2019,87,97,0.337883422
20191016,4375,0.253342641,10/16/2019,103,86,0.445675689
20191017,3042,0.312201919,10/17/2019,60,64,0.349998733
20191018,3185,0.657021856,10/18/2019,71,75,0.289696945
20191021,4947,0.170302988,10/21/2019,79,121,0.278243594
20191022,4273,0.625436015,10/22/2019,78,95,0.490666196
20191023,3916,0.464291838,10/23/2019,74,90,0.452916606
20191024,3330,0.223271936,10/24/2019,82,76,0.311470327
20191025,3786,0.329437203,10/25/2019,52,67,0.317983675
20191028,3921,0.218109939,10/28/2019,77,74,0.507271765
20191029,6029,0.223396414,10/29/2019,78,81,0.417255333
20191030,4984,0.107995444,10/30/2019,62,56,0.355665072
20191031,4353,0.267947968,10/31/2019,52,56,0.57288759
20191101,4394,0.202617029,11/1/2019,50,57,0.476726734
20191104,4559,0.315385261,11/4/2019,73,87,0.457945095
20191105,3594,0.238389123,11/5/2019,89,94,0.330988815
20191106,3437,0.595490038,11/6/2019,97,92,0.410018058
20191107,3527,0.184707275,11/7/2019,68,75,0.387329855
20191108,2800,0.325033552,11/8/2019,68,67,0.390239191
20191111,2174,0.284593919,11/11/2019,87,65,0.287437822
20191112,2237,0.189557925,11/12/2019,65,68,0.173194292
20191113,2825,0.170111419,11/13/2019,60,68,0.342812588
20191114,5234,0.573768696,11/14/2019,86,77,0.558858086
20191115,2778,0.205845598,11/15/2019,87,68,0.390477778
20191118,3566,0.27885369,11/18/2019,69,63,0.409642438
20191119,3732,0.250502026,11/19/2019,101,78,0.455696898
20191121,5387,0.566189163,11/21/2019,82,74,0.625197604
20191122,3395,0.207449369,11/22/2019,73,58,0.484842296
20191125,3739,0.105611374,11/25/2019,83,90,0.444982833
20191126,3868,0.184613194,11/26/2019,90,77,0.421731817
20191127,3934,0.2027576,11/27/2019,60,80,0.403767027
20191128,3489,0.178073223,11/28/2019,65,69,0.41657211
20191129,3301,0.516692334,11/29/2019,75,71,0.248465809
20191202,3650,0.552940326,12/2/2019,77,80,0.414513103
20191203,4040,0.465752291,12/3/2019,73,67,0.325863821
20191204,3667,0.107390326,12/4/2019,90,84,0.428356177
20191205,5872,0.143150386,12/5/2019,77,83,0.463582154
20191206,3264,0.245808452,12/6/2019,88,63,0.416913722
20191209,5285,0.535166194,12/9/2019,79,70,0.552411286
20191210,3066,0.242570192,12/10/2019,80,69,0.375485935
20191211,2943,0.221878604,12/11/2019,73,73,0.383974797
20191212,3694,0.22659068,12/12/2019,63,62,0.278109352
20191213,2875,0.292864927,12/13/2019,96,81,0.425860346
20191216,3496,0.199925444,12/16/2019,75,71,0.30276834
20191217,4208,0.138568352,12/17/2019,77,74,0.469035073
20191218,2522,0.040636486,12/18/2019,80,62,0.040636486
20191219,4414,0.683360121,12/19/2019,94,101,0.416984382
20191220,4715,0.348873019,12/20/2019,65,76,0.547577684
20191223,4525,0.364105182,12/23/2019,93,87,0.485380734
